     ('G737', 'S', '1') : 0.25
     ('G737', 'S', '4') : 0.0
     ('0000', 'S', '4') : 0.0
     ('0000', 'R', '4') : 0.0
     ('0000', 'S', '5') : 0.0
     ('1112', 'M', '1') : 0.5
     ('1112', 'P', '1') : 0.3333333333333333
     ('1112', 'R', '3') : 0.0
     ('1112', 'S', '3') : 0.0
     ('1112', 'S', '4') : 0.0
     ('1117', 'R', '3') : 0.0
     ('1134', 'R', '4') : 0.0
     ('1134', 'S', '5') : 0.0
     ('1134', 'R', '1') : 0.0
     ('1137', 'Q', '1') : 0.25
     ('1137', 'S', '1') : 0.6666666666666666
     ('1137', 'S', '2') : 0.0
     ('1137', 'S', '4') : 0.0
     ('1137', 'S', '5') : 0.1111111111111111
     ('1138', 'S', '3') : 0.0
     ('1177', 'R', '1') : 0.5
     ('1177', 'S', '1') : 0.2
     ('1177', 'S', '4') : 0.0
     ('1177', 'R', '4') : 0.0
     ('1177', 'T', '4') : 0.0
     ('1177', 'R', '5') : 0.0
     ('1177', 'T', '5') : 0.0
     ('1177', 'S', '5') : 0.0
     ('1178', 'R', '3') : 0.0
     ('1178', 'S', '3') : 0.0
     ('1178', 'S', '4') : 0.0
     ('1178', 'S', '1') : 0.0
     ('1178', 'Q', '1') : 0.0
     ('1181', 'R', '1') : 0.14285714285714285
     ('1181', 'Q', '1') : 0.125
     ('1181', 'Q', '5') : 0.0
     ('1181', 'R', '5') : 0.0
     ('1181', 'R', '2') : 0.0
     ('1181', 'S', '3') : 0.0
     ('1181', 'Q', '2') : 0.0
     ('1195', 'R', '1') : 0.0
     ('1195', 'S', '1') : 0.0
     ('1195', 'S', '5') : 0.0
     ('1200', 'R', '1') : 0.0
     ('1200', 'S', '1') : 0.3333333333333333
     ('1200', 'S', '5') : 0.0
     ('1223', 'S', '2') : 0.0
     ('1225', 'S', '1') : 0.3333333333333333
     ('3002', 'R', '3') : 0.0
     ('3002', 'S', '3') : 0.0
     ('3002', 'G', '1') : 0.0
     ('3002', 'G', '4') : 0.0
     ('3158', 'R', '2') : 0.0
     ('3158', 'S', '2') : 0.0
     ('3158', 'S', '4') : 0.0
     ('3158', 'R', '5') : 0.3333333333333333
     ('3158', 'S', '5') : 0.0
     ('3277', 'R', '1') : 0.5
     ('3277', 'S', '1') : 0.5
     ('3277', 'R', '2') : 0.0
     ('3277', 'S', '2') : 0.0
     ('3277', 'R', '5') : 0.0
     ('3851', 'R', '3') : 0.0
     ('3728', 'P', '3') : 0.25
     ('3728', 'R', '3') : 0.3333333333333333
     ('3728', 'S', '3') : 0.0
     ('3728', 'R', '2') : 0.0
     ('3728', 'R', '4') : 0.0
     ('3728', 'M', '4') : 0.0
     ('3728', 'P', '4') : 0.0
     ('3728', 'S', '1') : 0.0
     ('3728', 'S', '4') : 0.0
     ('3728', 'Q', '4') : 0.0
     ('3728', 'S', '5') : 0.0
     ('3756', 'S', '1') : 0.0
     ('3756', 'S', '3') : 0.0
     ('3756', 'S', '4') : 0.0
     ('3756', 'S', '5') : 0.0
     ('3782', 'S', '2') : 0.0
     ('3782', 'S', '4') : 0.0
     ('3782', 'S', '5') : 0.0
     ('3786', 'Q', '2') : 0.0
     ('3786', 'R', '2') : 0.0
     ('3786', 'S', '4') : 0.0
     ('3796', 'R', '1') : 1.0
     ('3796', 'R', '2') : 0.0
     ('3796', 'R', '4') : 0.0
     ('3846', 'Q', '5') : 0.0
     ('3833', 'R', '1') : 0.5
     ('3833', 'S', '1') : 0.5
     ('3833', 'Q', '2') : 0.0
     ('3833', 'R', '2') : 0.0
     ('3833', 'S', '2') : 0.0
     ('3833', 'T', '2') : 0.0
     ('3833', 'S', '4') : 0.0
     ('3833', 'S', '5') : 0.0
     ('3833', 'R', '5') : 0.0
     ('3836', 'S', '1') : 0.0
     ('3836', 'S', '3') : 0.0
     ('3836', 'S', '5') : 0.0
     ('3871', 'Q', '1') : 0.5
     ('3871', 'R', '1') : 0.5
     ('3871', 'S', '1') : 0.25
     ('3871', 'S', '4') : 0.0
     ('3872', 'S', '1') : 0.0
     ('3872', 'S', '3') : 0.0
     ('3872', 'S', '5') : 0.0
     ('3908', 'R', '2') : 0.0
     ('3908', 'S', '2') : 0.0
     ('3908', 'S', '1') : 0.5
     ('3914', 'R', '4') : 0.0
     ('3914', 'S', '4') : 0.0
     ('3920', 'S', '5') : 0.0
     ('3920', 'S', '4') : 0.0
     ('3920', 'R', '5') : 0.0
     ('3932', 'S', '2') : 0.0
     ('3932', 'S', '3') : 0.0
     ('3932', 'S', '4') : 0.0
     ('3937', 'S', '1') : 0.0
     ('5326', 'T', '4') : 0.0
     ('5326', 'R', '5') : 0.0
     ('5462', 'S', '1') : 0.5
     ('5462', 'S', '5') : 0.0
('4126', 'T', '4')
     ('0595', 'S', '4') : 0.0
     ('0595', 'S', '1') : 0.0
     ('K595', 'S', '1') : 0.0
     ('0595', 'T', '4') : 0.0
     ('0595', 'S', '5') : 0.0
     ('0598', 'S', '5') : 0.0
     ('0702', 'S', '1') : 0.0
     ('K702', 'S', '1') : 0.0
     ('K702', 'T', '1') : 0.0
     ('0702', 'S', '2') : 0.0
     ('0702', 'S', '3') : 0.0
     ('0702', 'S', '4') : 0.0
     ('0702', 'T', '4') : 0.0
     ('0702', 'S', '5') : 0.0
     ('0702', 'T', '5') : 0.0
     ('K702', 'S', '5') : 0.0
     ('0702', 'R', '3') : 0.0
     ('K702', 'S', '2') : 0.0
     ('0702', 'T', '2') : 0.0
     ('K723', 'S', '1') : 0.0
     ('K723', 'S', '4') : 1.0
     ('K725', 'S', '2') : 0.0
     ('0809', 'S', '1') : 0.0
     ('K809', 'S', '4') : 0.0
     ('0814', 'S', '3') : 0.0
     ('0814', 'S', '5') : 0.0
     ('0814', 'S', '1') : 0.0
     ('0835', 'S', '1') : 0.0
     ('K346', ' ', 'A') : 0.0
     ('3463', 'S', '4') : 0.0
     ('K363', ' ', 'A') : 0.0
     ('3668', 'S', '4') : 0.0
     ('4002', 'S', '2') : 0.0
     ('4082', 'S', '1') : 0.0
     ('4082', 'T', '1') : 0.0
     ('4090', 'S', '1') : 0.0
     ('4090', 'S', '3') : 0.0
     ('4126', 'S', '1') : 0.0
     ('4126', 'T', '4') : 1.0
     ('G723', 'S', '1') : 0.0
     ('G737', 'S', '1') : 0.0
     ('G737', 'S', '4') : 0.0
     ('0000', 'S', '4') : 0.0
     ('0000', 'R', '4') : 0.0
     ('0000', 'S', '5') : 0.0
     ('1112', 'M', '1') : 0.0
     ('1112', 'P', '1') : 0.0
     ('1112', 'R', '3') : 0.0
     ('1112', 'S', '3') : 0.0
     ('1112', 'S', '4') : 0.0
     ('1117', 'R', '3') : 0.0
     ('1134', 'R', '4') : 0.0
     ('1134', 'S', '5') : 0.0
     ('1134', 'R', '1') : 0.0
     ('1137', 'Q', '1') : 0.0
     ('1137', 'S', '1') : 0.0
     ('1137', 'S', '2') : 1.0
     ('1137', 'S', '4') : 0.0
     ('1137', 'S', '5') : 0.0
     ('1138', 'S', '3') : 0.0
     ('1177', 'R', '1') : 0.0
     ('1177', 'S', '1') : 0.0
     ('1177', 'S', '4') : 0.0
     ('1177', 'R', '4') : 0.0
     ('1177', 'T', '4') : 0.0
     ('1177', 'R', '5') : 0.0
     ('1177', 'T', '5') : 0.0
     ('1177', 'S', '5') : 0.0
     ('1178', 'R', '3') : 0.0
     ('1178', 'S', '3') : 0.0
     ('1178', 'S', '4') : 0.0
     ('1178', 'S', '1') : 0.0
     ('1178', 'Q', '1') : 0.0
     ('1181', 'R', '1') : 0.0
     ('1181', 'Q', '1') : 0.0
     ('1181', 'Q', '5') : 0.0
     ('1181', 'R', '5') : 0.0
     ('1181', 'R', '2') : 0.0
     ('1181', 'S', '3') : 0.0
     ('1181', 'Q', '2') : 0.0
     ('1195', 'R', '1') : 0.0
     ('1195', 'S', '1') : 0.0
     ('1195', 'S', '5') : 0.0
     ('1200', 'R', '1') : 0.0
     ('1200', 'S', '1') : 0.0
     ('1200', 'S', '5') : 0.0
     ('1223', 'S', '2') : 1.0
     ('1225', 'S', '1') : 0.0
     ('3002', 'R', '3') : 0.0
     ('3002', 'S', '3') : 0.0
     ('3002', 'G', '1') : 0.0
     ('3002', 'G', '4') : 0.0
     ('3158', 'R', '2') : 1.0
     ('3158', 'S', '2') : 1.0
     ('3158', 'S', '4') : 0.0
     ('3158', 'R', '5') : 0.0
     ('3158', 'S', '5') : 0.0
     ('3277', 'R', '1') : 0.0
     ('3277', 'S', '1') : 0.0
     ('3277', 'R', '2') : 1.0
     ('3277', 'S', '2') : 1.0
     ('3277', 'R', '5') : 0.0
     ('3851', 'R', '3') : 0.0
     ('3728', 'P', '3') : 0.0
     ('3728', 'R', '3') : 0.0
     ('3728', 'S', '3') : 0.0
     ('3728', 'R', '2') : 1.0
     ('3728', 'R', '4') : 0.0
     ('3728', 'M', '4') : 0.0
     ('3728', 'P', '4') : 0.0
     ('3728', 'S', '1') : 0.0
     ('3728', 'S', '4') : 0.0
     ('3728', 'Q', '4') : 0.0
     ('3728', 'S', '5') : 0.0
     ('3756', 'S', '1') : 0.0
     ('3756', 'S', '3') : 0.0
     ('3756', 'S', '4') : 0.0
     ('3756', 'S', '5') : 0.0
     ('3782', 'S', '2') : 1.0
     ('3782', 'S', '4') : 0.0
     ('3782', 'S', '5') : 0.5
     ('3786', 'Q', '2') : 1.0
     ('3786', 'R', '2') : 1.0
     ('3786', 'S', '4') : 0.0
     ('3796', 'R', '1') : 0.0
     ('3796', 'R', '2') : 1.0
     ('3796', 'R', '4') : 0.0
     ('3846', 'Q', '5') : 0.0
     ('3833', 'R', '1') : 0.0
     ('3833', 'S', '1') : 0.0
     ('3833', 'Q', '2') : 1.0
     ('3833', 'R', '2') : 1.0
     ('3833', 'S', '2') : 1.0
     ('3833', 'T', '2') : 1.0
     ('3833', 'S', '4') : 0.0
     ('3833', 'S', '5') : 0.3333333333333333
     ('3833', 'R', '5') : 1.0
     ('3836', 'S', '1') : 0.0
     ('3836', 'S', '3') : 0.0
     ('3836', 'S', '5') : 0.0
     ('3871', 'Q', '1') : 0.0
     ('3871', 'R', '1') : 0.0
     ('3871', 'S', '1') : 0.0
     ('3871', 'S', '4') : 0.0
     ('3872', 'S', '1') : 0.0
     ('3872', 'S', '3') : 0.0
     ('3872', 'S', '5') : 0.0
     ('3908', 'R', '2') : 1.0
     ('3908', 'S', '2') : 1.0
     ('3908', 'S', '1') : 0.0
     ('3914', 'R', '4') : 0.0
     ('3914', 'S', '4') : 0.0
     ('3920', 'S', '5') : 0.0
     ('3920', 'S', '4') : 0.0
     ('3920', 'R', '5') : 0.0
     ('3932', 'S', '2') : 1.0
     ('3932', 'S', '3') : 0.0
     ('3932', 'S', '4') : 0.0
     ('3937', 'S', '1') : 0.0
     ('5326', 'T', '4') : 0.0
     ('5326', 'R', '5') : 0.0
     ('5462', 'S', '1') : 0.0
     ('5462', 'S', '5') : 0.0
('G723', 'S', '1')
     ('0595', 'S', '4') : 0.0
     ('0595', 'S', '1') : 0.0
     ('K595', 'S', '1') : 0.0
     ('0595', 'T', '4') : 0.0
     ('0595', 'S', '5') : 0.0
     ('0598', 'S', '5') : 0.0
     ('0702', 'S', '1') : 0.16666666666666666
     ('K702', 'S', '1') : 0.2
     ('K702', 'T', '1') : 0.0
     ('0702', 'S', '2') : 0.0
     ('0702', 'S', '3') : 0.0
     ('0702', 'S', '4') : 0.0
     ('0702', 'T', '4') : 0.0
     ('0702', 'S', '5') : 0.0
     ('0702', 'T', '5') : 0.0
     ('K702', 'S', '5') : 0.0
     ('0702', 'R', '3') : 0.0
     ('K702', 'S', '2') : 0.0
     ('0702', 'T', '2') : 0.0
     ('K723', 'S', '1') : 1.0
     ('K723', 'S', '4') : 0.0
     ('K725', 'S', '2') : 0.0
     ('0809', 'S', '1') : 1.0
     ('K809', 'S', '4') : 0.0
     ('0814', 'S', '3') : 0.0
     ('0814', 'S', '5') : 0.0
     ('0814', 'S', '1') : 0.0
     ('0835', 'S', '1') : 1.0
     ('K346', ' ', 'A') : 0.0
     ('3463', 'S', '4') : 0.0
     ('K363', ' ', 'A') : 0.0
     ('3668', 'S', '4') : 0.0
     ('4002', 'S', '2') : 0.0
     ('4082', 'S', '1') : 0.0
     ('4082', 'T', '1') : 0.0
     ('4090', 'S', '1') : 0.0
     ('4090', 'S', '3') : 0.0
     ('4126', 'S', '1') : 0.0
     ('4126', 'T', '4') : 0.0
     ('G723', 'S', '1') : 1.0
     ('G737', 'S', '1') : 0.3333333333333333
     ('G737', 'S', '4') : 0.0
     ('0000', 'S', '4') : 0.0
     ('0000', 'R', '4') : 0.0
     ('0000', 'S', '5') : 0.2
     ('1112', 'M', '1') : 0.0
     ('1112', 'P', '1') : 0.0
     ('1112', 'R', '3') : 0.0
     ('1112', 'S', '3') : 0.0
     ('1112', 'S', '4') : 0.0
     ('1117', 'R', '3') : 0.0
     ('1134', 'R', '4') : 0.0
     ('1134', 'S', '5') : 0.0
     ('1134', 'R', '1') : 1.0
     ('1137', 'Q', '1') : 0.3333333333333333
     ('1137', 'S', '1') : 0.0
     ('1137', 'S', '2') : 0.0
     ('1137', 'S', '4') : 0.0
     ('1137', 'S', '5') : 0.0
     ('1138', 'S', '3') : 0.0
     ('1177', 'R', '1') : 0.0
     ('1177', 'S', '1') : 0.0
     ('1177', 'S', '4') : 0.0
     ('1177', 'R', '4') : 0.0
     ('1177', 'T', '4') : 0.0
     ('1177', 'R', '5') : 0.0
     ('1177', 'T', '5') : 0.0
     ('1177', 'S', '5') : 0.0
     ('1178', 'R', '3') : 0.0
     ('1178', 'S', '3') : 0.0
     ('1178', 'S', '4') : 0.0
     ('1178', 'S', '1') : 0.0
     ('1178', 'Q', '1') : 0.0
     ('1181', 'R', '1') : 0.16666666666666666
     ('1181', 'Q', '1') : 0.14285714285714285
     ('1181', 'Q', '5') : 0.0
     ('1181', 'R', '5') : 0.0
     ('1181', 'R', '2') : 0.0
     ('1181', 'S', '3') : 0.0
     ('1181', 'Q', '2') : 0.0
     ('1195', 'R', '1') : 0.0
     ('1195', 'S', '1') : 0.0
     ('1195', 'S', '5') : 0.0
     ('1200', 'R', '1') : 0.0
     ('1200', 'S', '1') : 0.0
     ('1200', 'S', '5') : 0.0
     ('1223', 'S', '2') : 0.0
     ('1225', 'S', '1') : 0.0
     ('3002', 'R', '3') : 0.0
     ('3002', 'S', '3') : 0.0
     ('3002', 'G', '1') : 0.0
     ('3002', 'G', '4') : 0.0
     ('3158', 'R', '2') : 0.0
     ('3158', 'S', '2') : 0.0
     ('3158', 'S', '4') : 0.0
     ('3158', 'R', '5') : 0.0
     ('3158', 'S', '5') : 0.0
     ('3277', 'R', '1') : 0.0
     ('3277', 'S', '1') : 0.0
     ('3277', 'R', '2') : 0.0
     ('3277', 'S', '2') : 0.0
     ('3277', 'R', '5') : 0.0
     ('3851', 'R', '3') : 0.0
     ('3728', 'P', '3') : 0.0
     ('3728', 'R', '3') : 0.0
     ('3728', 'S', '3') : 0.0
     ('3728', 'R', '2') : 0.0
     ('3728', 'R', '4') : 0.0
     ('3728', 'M', '4') : 0.0
     ('3728', 'P', '4') : 0.0
     ('3728', 'S', '1') : 0.0
     ('3728', 'S', '4') : 0.0
     ('3728', 'Q', '4') : 0.0
     ('3728', 'S', '5') : 0.0
     ('3756', 'S', '1') : 0.0
     ('3756', 'S', '3') : 0.0
     ('3756', 'S', '4') : 0.0
     ('3756', 'S', '5') : 0.0
     ('3782', 'S', '2') : 0.0
     ('3782', 'S', '4') : 0.0
     ('3782', 'S', '5') : 0.0
     ('3786', 'Q', '2') : 0.0
     ('3786', 'R', '2') : 0.0
     ('3786', 'S', '4') : 0.0
     ('3796', 'R', '1') : 0.0
     ('3796', 'R', '2') : 0.0
     ('3796', 'R', '4') : 0.0
     ('3846', 'Q', '5') : 0.0
     ('3833', 'R', '1') : 0.0
     ('3833', 'S', '1') : 0.0
     ('3833', 'Q', '2') : 0.0
     ('3833', 'R', '2') : 0.0
     ('3833', 'S', '2') : 0.0
     ('3833', 'T', '2') : 0.0
     ('3833', 'S', '4') : 0.0
     ('3833', 'S', '5') : 0.0
     ('3833', 'R', '5') : 0.0
     ('3836', 'S', '1') : 0.0
     ('3836', 'S', '3') : 0.0
     ('3836', 'S', '5') : 0.0
     ('3871', 'Q', '1') : 0.0
     ('3871', 'R', '1') : 0.0
     ('3871', 'S', '1') : 0.0
     ('3871', 'S', '4') : 0.0
     ('3872', 'S', '1') : 0.0
     ('3872', 'S', '3') : 0.0
     ('3872', 'S', '5') : 0.0
     ('3908', 'R', '2') : 0.0
     ('3908', 'S', '2') : 0.0
     ('3908', 'S', '1') : 0.0
     ('3914', 'R', '4') : 0.0
     ('3914', 'S', '4') : 0.0
     ('3920', 'S', '5') : 0.0
     ('3920', 'S', '4') : 0.0
     ('3920', 'R', '5') : 0.0
     ('3932', 'S', '2') : 0.0
     ('3932', 'S', '3') : 0.0
     ('3932', 'S', '4') : 0.0
     ('3937', 'S', '1') : 0.0
     ('5326', 'T', '4') : 0.0
     ('5326', 'R', '5') : 0.0
     ('5462', 'S', '1') : 0.0
     ('5462', 'S', '5') : 0.0
('G737', 'S', '1')
     ('0595', 'S', '4') : 0.0
     ('0595', 'S', '1') : 0.0
     ('K595', 'S', '1') : 0.0
     ('0595', 'T', '4') : 0.0
     ('0595', 'S', '5') : 0.0
     ('0598', 'S', '5') : 0.0
     ('0702', 'S', '1') : 0.2857142857142857
     ('K702', 'S', '1') : 0.3333333333333333
     ('K702', 'T', '1') : 0.0
     ('0702', 'S', '2') : 0.1111111111111111
     ('0702', 'S', '3') : 0.0
     ('0702', 'S', '4') : 0.0
     ('0702', 'T', '4') : 0.0
     ('0702', 'S', '5') : 0.05
     ('0702', 'T', '5') : 0.125
     ('K702', 'S', '5') : 0.0
     ('0702', 'R', '3') : 0.0
     ('K702', 'S', '2') : 0.0
     ('0702', 'T', '2') : 0.0
     ('K723', 'S', '1') : 0.3333333333333333
     ('K723', 'S', '4') : 0.0
     ('K725', 'S', '2') : 0.0
     ('0809', 'S', '1') : 0.3333333333333333
     ('K809', 'S', '4') : 0.0
     ('0814', 'S', '3') : 0.0
     ('0814', 'S', '5') : 0.0
     ('0814', 'S', '1') : 0.0
     ('0835', 'S', '1') : 0.3333333333333333
     ('K346', ' ', 'A') : 0.0
     ('3463', 'S', '4') : 0.0
     ('K363', ' ', 'A') : 0.0
     ('3668', 'S', '4') : 0.0
     ('4002', 'S', '2') : 0.0
     ('4082', 'S', '1') : 0.3333333333333333
     ('4082', 'T', '1') : 0.25
     ('4090', 'S', '1') : 0.3333333333333333
     ('4090', 'S', '3') : 0.0
     ('4126', 'S', '1') : 0.25
     ('4126', 'T', '4') : 0.0
     ('G723', 'S', '1') : 0.3333333333333333
     ('G737', 'S', '1') : 1.0
     ('G737', 'S', '4') : 0.0
     ('0000', 'S', '4') : 0.0
     ('0000', 'R', '4') : 0.0
     ('0000', 'S', '5') : 0.14285714285714285
     ('1112', 'M', '1') : 0.0
     ('1112', 'P', '1') : 0.0
     ('1112', 'R', '3') : 0.0
     ('1112', 'S', '3') : 0.0
     ('1112', 'S', '4') : 0.0
     ('1117', 'R', '3') : 0.0
     ('1134', 'R', '4') : 0.0
     ('1134', 'S', '5') : 0.0
     ('1134', 'R', '1') : 0.3333333333333333
     ('1137', 'Q', '1') : 0.5
     ('1137', 'S', '1') : 0.2
     ('1137', 'S', '2') : 0.0
     ('1137', 'S', '4') : 0.0
     ('1137', 'S', '5') : 0.1
     ('1138', 'S', '3') : 0.0
     ('1177', 'R', '1') : 0.3333333333333333
     ('1177', 'S', '1') : 0.16666666666666666
     ('1177', 'S', '4') : 0.0
     ('1177', 'R', '4') : 0.0
     ('1177', 'T', '4') : 0.0
     ('1177', 'R', '5') : 0.0
     ('1177', 'T', '5') : 0.0
     ('1177', 'S', '5') : 0.0
     ('1178', 'R', '3') : 0.0
     ('1178', 'S', '3') : 0.0
     ('1178', 'S', '4') : 0.0
     ('1178', 'S', '1') : 0.0
     ('1178', 'Q', '1') : 0.0
     ('1181', 'R', '1') : 0.2857142857142857
     ('1181', 'Q', '1') : 0.25
     ('1181', 'Q', '5') : 0.0
     ('1181', 'R', '5') : 0.0
     ('1181', 'R', '2') : 0.0
     ('1181', 'S', '3') : 0.0
     ('1181', 'Q', '2') : 0.0
     ('1195', 'R', '1') : 0.0
     ('1195', 'S', '1') : 0.0
     ('1195', 'S', '5') : 0.0
     ('1200', 'R', '1') : 0.0
     ('1200', 'S', '1') : 0.25
     ('1200', 'S', '5') : 0.0
     ('1223', 'S', '2') : 0.0
     ('1225', 'S', '1') : 0.25
     ('3002', 'R', '3') : 0.0
     ('3002', 'S', '3') : 0.0
     ('3002', 'G', '1') : 0.0
     ('3002', 'G', '4') : 0.3333333333333333
     ('3158', 'R', '2') : 0.0
     ('3158', 'S', '2') : 0.0
     ('3158', 'S', '4') : 0.0
     ('3158', 'R', '5') : 0.0
     ('3158', 'S', '5') : 0.0
     ('3277', 'R', '1') : 0.3333333333333333
     ('3277', 'S', '1') : 0.3333333333333333
     ('3277', 'R', '2') : 0.0
     ('3277', 'S', '2') : 0.0
     ('3277', 'R', '5') : 0.0
     ('3851', 'R', '3') : 0.3333333333333333
     ('3728', 'P', '3') : 0.2
     ('3728', 'R', '3') : 0.25
     ('3728', 'S', '3') : 0.0
     ('3728', 'R', '2') : 0.0
     ('3728', 'R', '4') : 0.0
     ('3728', 'M', '4') : 0.0
     ('3728', 'P', '4') : 0.0
     ('3728', 'S', '1') : 0.0
     ('3728', 'S', '4') : 0.0
     ('3728', 'Q', '4') : 0.0
     ('3728', 'S', '5') : 0.0
     ('3756', 'S', '1') : 0.0
     ('3756', 'S', '3') : 0.0
     ('3756', 'S', '4') : 0.0
     ('3756', 'S', '5') : 0.0
     ('3782', 'S', '2') : 0.0
     ('3782', 'S', '4') : 0.0
     ('3782', 'S', '5') : 0.0
     ('3786', 'Q', '2') : 0.0
     ('3786', 'R', '2') : 0.0
     ('3786', 'S', '4') : 0.0
     ('3796', 'R', '1') : 0.25
     ('3796', 'R', '2') : 0.0
     ('3796', 'R', '4') : 0.0
     ('3846', 'Q', '5') : 0.0
     ('3833', 'R', '1') : 0.0
     ('3833', 'S', '1') : 0.0
     ('3833', 'Q', '2') : 0.0
     ('3833', 'R', '2') : 0.0
     ('3833', 'S', '2') : 0.0
     ('3833', 'T', '2') : 0.0
     ('3833', 'S', '4') : 0.0
     ('3833', 'S', '5') : 0.0
     ('3833', 'R', '5') : 0.0
     ('3836', 'S', '1') : 0.0
     ('3836', 'S', '3') : 0.0
     ('3836', 'S', '5') : 0.0
     ('3871', 'Q', '1') : 0.3333333333333333
     ('3871', 'R', '1') : 0.3333333333333333
     ('3871', 'S', '1') : 0.2
     ('3871', 'S', '4') : 0.3333333333333333
     ('3872', 'S', '1') : 0.0
     ('3872', 'S', '3') : 0.0
     ('3872', 'S', '5') : 0.0
     ('3908', 'R', '2') : 0.0
     ('3908', 'S', '2') : 0.0
     ('3908', 'S', '1') : 0.3333333333333333
     ('3914', 'R', '4') : 0.0
     ('3914', 'S', '4') : 0.0
     ('3920', 'S', '5') : 0.043478260869565216
     ('3920', 'S', '4') : 0.0
     ('3920', 'R', '5') : 0.0
     ('3932', 'S', '2') : 0.0
     ('3932', 'S', '3') : 0.3333333333333333
     ('3932', 'S', '4') : 0.0
     ('3937', 'S', '1') : 0.0
     ('5326', 'T', '4') : 0.0
     ('5326', 'R', '5') : 0.0
     ('5462', 'S', '1') : 0.0
     ('5462', 'S', '5') : 0.0
('G737', 'S', '4')
     ('0595', 'S', '4') : 0.25
     ('0595', 'S', '1') : 0.0
     ('K595', 'S', '1') : 0.0
     ('0595', 'T', '4') : 0.0
     ('0595', 'S', '5') : 0.0
     ('0598', 'S', '5') : 0.0
     ('0702', 'S', '1') : 0.0
     ('K702', 'S', '1') : 0.0
     ('K702', 'T', '1') : 0.0
     ('0702', 'S', '2') : 0.0
     ('0702', 'S', '3') : 0.0
     ('0702', 'S', '4') : 0.0
     ('0702', 'T', '4') : 0.0
     ('0702', 'S', '5') : 0.0
     ('0702', 'T', '5') : 0.0
     ('K702', 'S', '5') : 0.0
     ('0702', 'R', '3') : 0.0
     ('K702', 'S', '2') : 0.0
     ('0702', 'T', '2') : 0.0
     ('K723', 'S', '1') : 0.0
     ('K723', 'S', '4') : 0.0
     ('K725', 'S', '2') : 0.0
     ('0809', 'S', '1') : 0.0
     ('K809', 'S', '4') : 1.0
     ('0814', 'S', '3') : 0.0
     ('0814', 'S', '5') : 0.0
     ('0814', 'S', '1') : 0.0
     ('0835', 'S', '1') : 0.0
     ('K346', ' ', 'A') : 0.0
     ('3463', 'S', '4') : 1.0
     ('K363', ' ', 'A') : 0.0
     ('3668', 'S', '4') : 0.0
     ('4002', 'S', '2') : 0.0
     ('4082', 'S', '1') : 0.0
     ('4082', 'T', '1') : 0.0
     ('4090', 'S', '1') : 0.0
     ('4090', 'S', '3') : 0.0
     ('4126', 'S', '1') : 0.0
     ('4126', 'T', '4') : 0.0
     ('G723', 'S', '1') : 0.0
     ('G737', 'S', '1') : 0.0
     ('G737', 'S', '4') : 1.0
     ('0000', 'S', '4') : 0.0
     ('0000', 'R', '4') : 0.0
     ('0000', 'S', '5') : 0.0
     ('1112', 'M', '1') : 0.0
     ('1112', 'P', '1') : 0.0
     ('1112', 'R', '3') : 0.0
     ('1112', 'S', '3') : 0.0
     ('1112', 'S', '4') : 0.0
     ('1117', 'R', '3') : 0.0
     ('1134', 'R', '4') : 0.0
     ('1134', 'S', '5') : 0.0
     ('1134', 'R', '1') : 0.0
     ('1137', 'Q', '1') : 0.0
     ('1137', 'S', '1') : 0.0
     ('1137', 'S', '2') : 0.0
     ('1137', 'S', '4') : 0.0
     ('1137', 'S', '5') : 0.0
     ('1138', 'S', '3') : 0.0
     ('1177', 'R', '1') : 0.0
     ('1177', 'S', '1') : 0.0
     ('1177', 'S', '4') : 0.5
     ('1177', 'R', '4') : 1.0
     ('1177', 'T', '4') : 0.0
     ('1177', 'R', '5') : 0.0
     ('1177', 'T', '5') : 0.0
     ('1177', 'S', '5') : 0.0
     ('1178', 'R', '3') : 0.0
     ('1178', 'S', '3') : 0.0
     ('1178', 'S', '4') : 0.0
     ('1178', 'S', '1') : 0.0
     ('1178', 'Q', '1') : 0.0
     ('1181', 'R', '1') : 0.0
     ('1181', 'Q', '1') : 0.0
     ('1181', 'Q', '5') : 0.0
     ('1181', 'R', '5') : 0.0
     ('1181', 'R', '2') : 0.0
     ('1181', 'S', '3') : 0.0
     ('1181', 'Q', '2') : 0.0
     ('1195', 'R', '1') : 0.0
     ('1195', 'S', '1') : 0.0
     ('1195', 'S', '5') : 0.0
     ('1200', 'R', '1') : 0.0
     ('1200', 'S', '1') : 0.0
     ('1200', 'S', '5') : 0.0
     ('1223', 'S', '2') : 0.0
     ('1225', 'S', '1') : 0.0
     ('3002', 'R', '3') : 0.0
     ('3002', 'S', '3') : 0.0
     ('3002', 'G', '1') : 0.0
     ('3002', 'G', '4') : 0.0
     ('3158', 'R', '2') : 0.0
     ('3158', 'S', '2') : 0.0
     ('3158', 'S', '4') : 0.0
     ('3158', 'R', '5') : 0.0
     ('3158', 'S', '5') : 0.0
     ('3277', 'R', '1') : 0.0
     ('3277', 'S', '1') : 0.0
     ('3277', 'R', '2') : 0.0
     ('3277', 'S', '2') : 0.0
     ('3277', 'R', '5') : 0.0
     ('3851', 'R', '3') : 0.0
     ('3728', 'P', '3') : 0.0
     ('3728', 'R', '3') : 0.0
     ('3728', 'S', '3') : 0.0
     ('3728', 'R', '2') : 0.0
     ('3728', 'R', '4') : 0.0
     ('3728', 'M', '4') : 0.0
